(G)I-DLE: K-pop
"ABBA: Pop, Disco"
ADO: Electronic
"Amine: Hip-hop, R&B"
"Anderson .Paak: R&B, Funk, Hip-hop"
ATEEZ: K-pop
Aurora: Pop
Bach: Classical
"Bad Bunny: Reggaeton, Latin Trap"
"Beabadoobee: Indie Pop, Rock"
"Beret: Pop, Latin"
"Beyoncé: R&B, Pop"
Blackpink: K-pop
"Bladee: Cloud Rap, Experimental"
"Blood Orange: R&B, Alternative R&B"
"BLVCK SVM: Electronic, Hip-hop"
Brad Paisley: Country
Brent Faiyaz: R&B
"Bruno Mars: Pop, R&B"
BTS: K-pop
"Chen: K-pop, Ballad"
Creepy Nuts: Hip-hop
"Daniel Caesar: R&B, Soul"
"Day6: K-pop, Rock"
"Deftones: Alternative Metal, Nu Metal"
"Dominic Fike: Alternative, Indie Pop"
"Drake: Hip-hop, R&B"
EAJ (Yunho): K-pop
"Elton John: Pop, Rock"
"Emotional Orange: R&B, Soul"
ENHYPEN: K-pop
"Eric Chou: Mandopop, Pop"
"Fahad Darya: Pop, Afghan Music"
"Frank Ocean: R&B, Alternative R&B"
"Gente de Zona: Reggaeton, Latin"
"Glass Animals: Indie Pop, Psychedelic Pop"
"Gracie Abrams: Pop, Indie Pop"
"Gregory Alan Isakov: Folk, Indie Folk"
"Gryffin: Electronic, Dance"
"Guns N' Roses: Hard Rock, Rock"
H.E.R.: R&B
"Hozier: Indie Rock, Folk"
HYBS: Hip-hop
"Iann Dior: Hip-hop, Pop"
"Illenium: Electronic, Future Bass"
"Imagine Dragons: Pop Rock, Indie Pop"
"J Cole: Hip-hop, Rap"
"James Blake: Electronic, R&B"
"Jhene Aiko: R&B, Soul"
Jonah Kagen: Pop
"Jorja Smith: R&B, Soul"
Junny: R&B
"Kanye West: Hip-hop, Rap"
"Kehlani: R&B, Hip-hop"
"Kendrick Lamar: Hip-hop, Rap"
"Keshi: R&B, Pop"
"Kid Cudi: Hip-hop, Rap"
"Kishi Bashi: Indie Pop, Folk"
"Knock2: Electronic, Dance"
"Lana Del Rey: Pop, Alternative"
"Larry June: Hip-hop, Rap"
"Last Dinosaurs: Indie Rock, Alternative"
"Laufey: Jazz, Pop"
"Lauv: Pop, Indie Pop"
"Le Sserafim: Hip-hop, R&B"
"Lil Baby: Hip-hop, Rap"
"Mafumafu: J-pop, Vocaloid"
"Maluma: Reggaeton, Latin Pop"
"Mecano: Pop, Synth-pop"
"Meek Mill: Hip-hop, Rap"
"Melendi: Pop, Rock"
"Metro Boomin: Hip-hop, Trap"
"Mike Towers: Reggaeton, Latin Trap"
"Mitski: Indie Rock, Alternative"
"Mrs. Green Apple: J-rock, Pop Rock"
Natori: Pop
NCT: K-pop
"Ne-Yo: R&B, Pop"
"New Jeans: Pop, Indie Pop"
"Nicky Youre: Pop, Indie Pop"
"Niki: R&B, Pop"
"Noah Kahan: Pop, Indie Folk"
"ODESZA: Electronic, Indie"
"Olivia Rodrigo: Pop, Rock"
Omnific: Progressive Metal
P1Harmony: K-pop
"Paramore: Pop Punk, Alternative"
Phil Wickham: Contemporary Christian
"Porter Robinson: Electronic, Dance"
"Post Malone: Hip-hop, Pop"
"Quevedo: Pop, Latin"
"Radiohead: Alternative Rock, Experimental"
Red Velvet: K-pop
"Renee Rap: Pop, Hip-hop"
"Rina Sawayama: Pop, R&B"
"Rolling Stones: Rock, Blues"
"Ryan Beatty: Pop, R&B"
"Rynx: Electronic, Dance"
"Sammy Rae: Pop, Jazz"
"Seori: Pop, Indie Pop"
Seventeen: K-pop
SKZ (Stray Kids): K-pop
"Slander: Electronic, Dubstep"
"Sleep Token: R&B, Metal"
Stratovarius: Power Metal
Summer Walker: R&B
"SZA: R&B, Soul"
"Tame Impala: Psychedelic Pop, Rock"
"Tamino: Indie Pop, Folk"
"Taylor Swift: Pop, Country"
"The 1975: Indie Pop, Synth-pop"
"The Japanese House: Indie Pop, Electronica"
"The Lumineers: Folk Rock, Indie Folk"
"The Rose: K-pop, Rock"
"The Score: Pop Rock, Indie Pop"
"Tiësto: Electronic, Dance"
"Toyosaki Aki: J-pop, Anison"
"Travis Scott: Hip-hop, Rap"
"Tupac: Hip-hop, Rap"
TXT (Tomorrow X Together): K-pop
Tyla: Hip-hop
"Tyler, The Creator: Hip-hop, Rap"
"UPSahl: Pop, Indie Pop"
"Usher: R&B, Pop"
"Victoria Monet: R&B, Pop"
"Vintage Culture: Electronic, Dance"
"Will Wood: Alternative, Rock"
"Winnetka Bowling League: Indie Pop, Rock"
"Wisin y Yandel: Reggaeton, Latin"
"Yoasobi: J-pop, Pop Rock"
"Yorushika: J-pop, Indie Rock"
"Yung Lean: Hip-hop, Rap"
"Yuu Miyashita: J-pop, Pop"
"Zach Bryan: Country, Folk"
"Zeph: Electronic, Dance"
"Zico: K-pop, Hip-hop"
