Timestamp,Age,Gender,Hometown (include only state and city),Major/majors,favorite genre #1,favorite genre #2,favorite genre #3,Who is your favorite artist(s)?,How many hours per day do you listen to music? ,Do you play any instrument,What instrument do you play?,Are you an introvert or extrovert? ,What are your hobbies? If it's more than one please put commas in between your responses. ,What is/are your favorite color(s)? 
2/13/2024 13:21:59,21,Female,"Sunnyvale, CA","Cognitive Science (D&I), Education Sciences",pop,mandopop,R&B,"Jonah Kagen, Chen, Eric Chou",4,No,,Introvert,"rock climbing, dancing, singing, aerial arts, gaming",Green
2/13/2024 13:22:12,19,Male,"Dallas, Texas",Data Science,R&B,jazz,pop,Laufey,5,Yes,clarinet,Extrovert,"Reading, Zelda games",Green
2/13/2024 13:23:01,19,Male,Dallas Texas,DSC & Business Econ,classical,country,jazz,N/A,0-1,Yes,guitar,Extrovert,"Table tennis, read, video games",Yellow
2/13/2024 13:24:14,20,Female,"Garden Grove, CA","Bioengineering, Math/CS",R&B,pop,folk,"Laufey, NIKI, Renee Rap",2,Yes,piano,Introvert,"Knitting, Drawing","Red, Pink, Brown, Green, Black"
2/13/2024 13:27:11,22,Female,"Brea, California",Business Psychology,Christian,pop,hiphop/rap,Phil Wickham,3,Yes,piano,Introvert,"baking, cooking, music, cafe hopping, traveling",Purple
2/13/2024 13:35:36,20,Female,"south gate , ca",media ,pop,folk,hiphop/rap,frank ocean,4,No,,Introvert,"photography, theater, movies","Pink, Blue, Brown"
2/13/2024 13:50:21,21,Female,Bellevue WA,ESYS EBE,pop,folk,rock,Taylor swift,2-3,Yes,"piano, Flute ",Introvert,"Reading, hiking ","Pink, Green"
2/13/2024 13:56:41,20,Female,"Lima, Peru",Data Science,rock,EDM,reggaeton,Paramore,5,Yes,piano,Introvert,"Reading,cooking,drawing,traveling",Blue
2/13/2024 13:58:18,21,Female,"Monterrey, Nuevo Leon",Human Biology,alternative,rock,indie,lana del rey,2,No,,Introvert,watch movies,Blue
2/13/2024 14:03:49,20,Female,El Centro California ,"Clinical Psychology, International Business  ",hiphop/rap,R&B,pop,Drake ,4,No,,Introvert,"Shopping, friends, puzzles, music ","Pink, Black"
2/13/2024 14:20:40,27,Male,"Murrieta, CA",Cogsci ML,EDM,pop,J-pop,Keshi,2,No,,Introvert,"Play volleyball, play video game, watch anime, read manga","Blue, Green"
